tokenID,name,description,file_name,external_url,attributes[Season],attributes[Access],attributes[Network]
1,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
2,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
3,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
4,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
5,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
6,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
7,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
8,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
9,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
10,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
11,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
12,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
13,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
14,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
15,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
16,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
17,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
18,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
19,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
20,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
21,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
22,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
23,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
24,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
25,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
26,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
27,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
28,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
29,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
30,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
31,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
32,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
33,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
34,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
35,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
36,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
37,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
38,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
39,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
40,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
41,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
42,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
43,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
44,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
45,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
46,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
